csg_id	title	author	year	publisher	link
2542	Cois an Ghaorthaidh	Anaithnid	1818	Clóchomhar, An	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=2542
2558	Cois Caoin-Reathaighe	de bhFál, Éamonn	1720	(B.Á.C.: O.S., 1946)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=2558
2579	Cois Máighe na gCaor	Mainchín Seoighe	1803	(B.Á.C.: F.N.T., 1965)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=2579
2442	Cois na Bríde	Inglis, Liam	1730	(B.Á.C.: O.S., 1937)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=2442
2371	Cois na Cora	Mac Coitir, Liam Ruadh	1720	(B.Á.C.: O.S., 1937)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=2371
2416	Cois na Ruachtaighe		1750	(B.Á.C.: O.S., 1938)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=2416
3348	Comhacht Uisce in Éirinn	Breathnach, Annraoi / Ó Domhnaill, Pádraig	1919	Acadamh de Hindeberg	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=3348
2764	Cómhairle Ár Leasa	Ua Laoghaire, Peadar, An tAthair	1923	Brún & Ó Nóláin, Teor.	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=2764
3971	Comhairle Commisarius na Cléire	Ó Dufaigh, Seosamh	1731	(B.Á.C.: Coláiste Phádraig, 1970)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=3971
2461	Comhairle Mhic Clamha ó Achadh na Muilleann		1700	(Muineachán: Cumann Seanchais Chlochair, 1966)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=2461
2064	Comhfhreagras Fileata ó Chontae an Chláir		1760	(B.Á.C.: Coiste Fhéilscríbhinn Thomáis de Bhaldraithe, 1986)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=2064
2561	Compánach an Chríosdaigh	Furlong, Ionatan	1844	(B.Á.C.: Tegg and Co., 1844)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=2561
2018	Conchubhar Mac Bruaidheadha and Sir Mathew de Renzy	Mac Bruaideadha, Conchobhar	1631	(B.Á.C.: NUI, 1993)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=2018
1916	Congantóirí Sheáin Uí Dhálaigh		1850	(B.Á.C.: NUI, 1943)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=1916
1893	Congantóirí Sheáin Uí Dhálaigh	Anaithnid	1756	(B.Á.C.: NUI, 1939)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=1893
1899	Congantóirí Sheáin Uí Dhálaigh	Anaithnid	1845	(B.Á.C.: NUI, 1940)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=1899
1896	Congantóirí Sheáin Uí Dhálaigh	Anaithnid	1849	(B.Á.C.: NUI, 1940)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=1896
1908	Congantóirí Sheáin Uí Dhálaigh	Anaithnid	1850	(B.Á.C.: NUI, 1942)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=1908
1909	Congantóirí Sheáin Uí Dhálaigh	Mac Cárthaigh, Micheál	1846	(B.Á.C.: NUI, 1941)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=1909
1905	Congantóirí Sheáin Uí Dhálaigh	Mac Cárthaigh, Micheál	1846	(B.Á.C.: NUI, 1942)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=1905
1898	Congantóirí Sheáin Uí Dhálaigh	Ó Dálaigh, Seán	1840	(B.Á.C.: NUI, 1940)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=1898
