csg_id	title	author	year	publisher	link
5034	Séadna. (Ar leanamhaint.)	Ua Laoghaire, Peadar	1896	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=5034
5046	Séadna. (Ar leanamhaint.)	Ua Laoghaire, Peadar	1896	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=5046
5055	Séadna. (Ar leanamhaint.)	Ua Laoghaire, Peadar	1896	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=5055
5070	Séadna. (Ar leanamhaint.)	Ua Laoghaire, Peadar	1897	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=5070
5079	Séadna. (Ar leanamhaint.)	Ua Laoghaire, Peadar	1897	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=5079
5086	Séadna. (Ar leanamhaint.)	Ua Laoghaire, Peadar	1897	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=5086
5716	Seaghán an Bhríste Leathair (amhrán grinn fá ghléas).	Féach bailitheoir	1902	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=5716
5819	Seaghán Bán agus na Daoine Maithe.	Féach ainm cleite	1903	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=5819
4721	Séaghan Bocht ó Éirinn.	Féach bailitheoir	1890	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=4721
4554	Seaghan Gabha.	Ní fios	1887	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=4554
1619	Seaghán Leslie ag Béilféirsde	Cú Uladh	1911	An Claidheamh Soluis	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=1619
5081	Seaghán Mac Congamhna.	Ua Ruaidhrí, Seaghán	1897	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=5081
4887	Seaghán Mhac Séarthaigh agus an Fear-sidhe.	Ua Séaghdha, Seumus	1895	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=4887
4873	Seaghán na Nodlag.	Ua Broin, M.	1895	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=4873
5044	Seaghan O Dighe.	Mac Gearailt, Piaras	1896	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=5044
5193	Seaghán Ó Sirirean. Sgéal Fíor.	Mac-A'-Bháird, Seaghán - Na Cealla Beaga.	1898	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=5193
1408	Seaghán Pléimeann	Ní fios	1906	An Claidheamh Soluis	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=1408
5912	Seaghán Ruadh an Ghaorthaidh.	Ó Muimhneacháin, Conchubhar	1904	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=5912
6010	Séamaisín Mhac an Bháird.	Máirtín, Máire	1904	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=6010
6075	Séamus Mac Ghearailt, ctt.	Ní fios	1904	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=6075
970	Sean Bhoidéil	Ní fios	1901	An Claidheamh Soluis	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=970
5854	Sean Leabhartha na hÉireann.	Ó hEidhin, Tomás	1903	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=5854
6022	Seán Ó Gadhra, File - II.	Ní fios	1905	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=6022
6041	Seán Ó Gadhra, File - III.	Ní fios	1905	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=6041
6053	Seán Ó Gadhra, File - IV.	Ní fios	1905	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=6053
6100	Seán Ó Gadhra, File - IX.	Ní fios	1905	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=6100
6059	Seán Ó Gadhra, File - VI.	Ní fios	1905	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=6059
6066	Seán Ó Gadhra, File - VI.	Ní fios	1905	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=6066
6082	Seán Ó Gadhra, File - VII.	Ní fios	1905	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=6082
6088	Seán Ó Gadhra, File - VIII.	Ó hEadhra, Brian	1905	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=6088
6115	Seán Ó Gadhra, File - X.	Ní fios	1906	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=6115
6138	Seán Ó Gadhra, File - XI.	Ní fios	1906	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=6138
6181	Seán Ó Gadhra, File - XII.	Ní fios	1906	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=6181
6191	Seán Ó Gadhra, File - XIII.	Ó Gadhra, Seán	1906	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=6191
6233	Seán Ó Gadhra, File - XIV.	Ó Gadhra, Seán	1907	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=6233
6277	Seán Ó Gadhra, File - XIX.	Ó Gadhra, Seán	1907	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=6277
6243	Seán Ó Gadhra, File - XV.	Féach ainm cleite	1907	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=6243
6252	Seán Ó Gadhra, File - XVI.	Ó Gadhra, Seán	1907	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=6252
